first_name,middle_name,last_name,state,district,party,next_election,id,api_uri,domain,url,facebook_account,facebook_id,twitter_account,google_entity_id,rss_url,total_votes,missed_votes,missed_votes_pct,total_present,votes_with_party_pct,dw_nominate,seniority,ideal_point
Bill,null,Cassidy,LA,null,R,2020,C001075,https://api.propublica.org/congress/v1/members/C001075.json,www.cassidy.senate.gov,http://www.cassidy.senate.gov,null,null,null,/m/0286t7r,null,64,0,0.00,0,96.88,null,3,null
Christopher,A.,Coons,DE,null,D,2020,C001088,https://api.propublica.org/congress/v1/members/C001088.json,null,https://www.coons.senate.gov,senatorchriscoons,254950754518205,SenCoonsOffice,/m/082d3d,https://www.coons.senate.gov/rss/feeds/?type=press,64,10,15.63,0,92.59,null,9,null
Tom,null,Cotton,AR,null,R,2020,C001095,https://api.propublica.org/congress/v1/members/C001095.json,null,https://www.cotton.senate.gov,SenatorTomCotton,120355701459307,SenTomCotton,/m/02g3ds,https://www.cotton.senate.gov/rss/,64,0,0.00,0,96.88,null,3,null
Ted,null,Cruz,TX,null,R,2018,C001098,https://api.propublica.org/congress/v1/members/C001098.json,cruz.senate.gov,https://www.cruz.senate.gov,SenatorTedCruz,315496455229328,SenTedCruz,/m/07j6ty,https://www.cruz.senate.gov/rss/,64,3,4.69,0,91.80,null,5,null
Catherine,null,Cortez Masto,NV,null,D,2022,C001113,https://api.propublica.org/congress/v1/members/C001113.json,null,https://www.cortezmasto.senate.gov,SenatorCortezMasto,null,sencortezmasto,/m/02rtp9t,null,64,0,0.00,0,95.31,null,1,null
Richard,J.,Durbin,IL,null,D,2020,D000563,https://api.propublica.org/congress/v1/members/D000563.json,www.durbin.senate.gov,http://www.durbin.senate.gov,SenatorDurbin,180436795325335,SenatorDurbin,/m/01xcd1,null,64,2,3.13,0,93.55,null,21,null
Joe,null,Donnelly,IN,null,D,2018,D000607,https://api.propublica.org/congress/v1/members/D000607.json,www.donnelly.senate.gov,http://www.donnelly.senate.gov,senatordonnelly,168059529893610,SenDonnelly,/m/0gmx64,http://www.donnelly.senate.gov/rss/feeds/?press,64,0,0.00,0,87.50,null,5,null
Steve,null,Daines,MT,null,R,2020,D000618,https://api.propublica.org/congress/v1/members/D000618.json,www.daines.senate.gov,https://www.daines.senate.gov,SteveDainesMT,185361254941832,SteveDaines,/m/03qlc5t,null,64,0,0.00,0,95.31,null,3,null
Tammy,null,Duckworth,IL,null,D,2022,D000622,https://api.propublica.org/congress/v1/members/D000622.json,duckworth.house.gov,https://www.duckworth.senate.gov,SenDuckworth,112300955610529,SenDuckworth,/m/09vqjr,http://duckworth.house.gov/index.php/media-center/press-releases?format=feed&amp;type=rss,64,0,0.00,0,95.31,null,1,null
Michael,B.,Enzi,WY,null,R,2020,E000285,https://api.propublica.org/congress/v1/members/E000285.json,null,http://www.enzi.senate.gov,mikeenzi,23068049436,SenatorEnzi,/m/021ph1,http://www.enzi.senate.gov/public/index.cfm/rss/feed,64,0,0.00,0,95.31,null,21,null
Joni,null,Ernst,IA,null,R,2020,E000295,https://api.propublica.org/congress/v1/members/E000295.json,null,http://www.ernst.senate.gov/public,senjoniernst,351671691660938,SenJoniErnst,/m/0gg4wkg,null,64,0,0.00,0,96.88,null,3,null
Dianne,null,Feinstein,CA,null,D,2018,F000062,https://api.propublica.org/congress/v1/members/F000062.json,www.feinstein.senate.gov,http://www.feinstein.senate.gov,senatorfeinstein,334887279867783,SenFeinstein,/m/01gqws,http://www.feinstein.senate.gov/public/?a=rss.feed,64,24,37.50,0,92.50,null,25,null
